date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:08:08	99927/99927	---M--	200	added ('OK')	image/jpeg	etag:%22618256aa-18657%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/bg/hero-bg-3.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/bg/hero-bg-3.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:08	2496/2496	---M--	200	added ('OK')	image/png	etag:%2261825739-9c0%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-5.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-5.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:08	89800/89800	---M--	200	added ('OK')	image/png	etag:%226182573b-15ec8%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-6.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/shape/slider-shape-6.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:08	45270/45270	---M--	200	added ('OK')	image/jpeg	etag:%22618256f0-b0d6%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/about-right-image-1.jpg	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/about-right-image-1.jpg	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:09	3593/3593	---M--	200	added ('OK')	image/png	etag:%2261825728-e09%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners1.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners1.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:09	3079/3079	---M--	200	added ('OK')	image/png	etag:%226182572b-c07%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners2.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners2.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:09	3094/3094	---M--	200	added ('OK')	image/png	etag:%226182572b-c16%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners3.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners3.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:09	2368/2368	---M--	200	added ('OK')	image/png	etag:%226182572c-940%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners4.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners4.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:10	2387/2387	---M--	200	added ('OK')	image/png	etag:%226182572d-953%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners5.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners5.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:10	2771/2771	---M--	200	added ('OK')	image/png	etag:%226182572d-ad3%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners6.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners6.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:10	2805/2805	---M--	200	added ('OK')	image/png	etag:%226182572e-af5%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners7.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners7.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:10	2980/2980	---M--	200	added ('OK')	image/png	etag:%226182572e-ba4%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners8.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners8.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:10	2605/2605	---M--	200	added ('OK')	image/png	etag:%226182572f-a2d%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners9.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners9.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:11	2219/2219	---M--	200	added ('OK')	image/png	etag:%2261825729-8ab%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners10.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners10.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:11	2349/2349	---M--	200	added ('OK')	image/png	etag:%2261825729-92d%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners11.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners11.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:11	3326/3326	---M--	200	added ('OK')	image/png	etag:%226182572a-cfe%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners12.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/partners/partners12.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:11	2550/2550	---M--	200	added ('OK')	image/png	etag:%22618256ef-9f6%22	https://radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/awards-1.png	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/assets/images/home1/awards-1.png	(from https://radiustheme.com/demo/html/Deltech Technologies/)
02:08:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Dec%202022%2020:35:58%20GMT	https://radiustheme.com/demo/html/Deltech Technologies/awards-details.html	C:/My%20Web%20Sites/temp/radiustheme.com/demo/html/Deltech Technologies/awards-details.html	(from https://radiustheme.com/demo/html/Deltech Technologies/)
